Country,Population Rank,Growth Rate,World Percentage,Density,Land Area,2020 Population Rank,2020 World Percentage,2020 Growth Rate,Area,Capital City,Region,Subregion,Anthem,Government,GDP (IMF),GDP (UN),GDP Per Capita
Solomon Islands,166,2.55%,0.01%,23.77,"27,990",166,0.01%,2.55%,"28,896",Honiara,Oceania,Melanesia,,,$1.61 Bn,$1.13 Bn,"$2,339.55"
Micronesia,194,1.06%,0.00%,163.85,700,194,0.00%,1.06%,702,Palikir,Oceania,Micronesia,,,$389.00 Mn,$329.90 Mn,"$3,381.93"
United Arab Emirates,93,1.23%,0.13%,118.31,"83,600",93,0.13%,1.23%,"83,600",Abu Dhabi,Asia,Western Asia,,,$449.13 Bn,$348.74 Bn,"$45,410.69"
Bulgaria,107,-0.74%,0.09%,62.67,"108,560",107,0.09%,-0.74%,"110,879",Sofia,Europe,Eastern Europe,,,$71.75 Bn,$53.24 Bn,"$10,325.48"
Azerbaijan,90,0.91%,0.13%,117.08,"82,658",90,0.13%,0.91%,"86,600",Baku,Asia,Western Asia,,,$47.43 Bn,$37.85 Bn,"$4,677.8"
Kuwait,129,1.51%,0.05%,239.68,"17,820",129,0.05%,1.51%,"17,818",Kuwait City,Asia,Western Asia,,,$143.00 Bn,$110.35 Bn,"$33,484.75"
Russia,9,0.04%,1.87%,8.54,"16,376,870",9,1.87%,0.04%,"17,098,242",Moscow,Europe,Eastern Europe,Russia,Russia,$1.67 Tn,$1.25 Tn,"$11,426.09"
Luxembourg,169,1.66%,0.01%,242.06,"2,590",169,0.01%,1.66%,"2,586",Luxembourg,Europe,Western Europe,,,$73.69 Bn,$58.63 Bn,"$117,724.58"
Tuvalu,225,1.25%,0.00%,453.54,30,225,0.00%,1.25%,26,Funafuti,Oceania,Polynesia,,,$53.00 Mn,$36.70 Mn,"$4,494.57"
Paraguay,106,1.25%,0.09%,17.54,"397,300",106,0.09%,1.25%,"406,752",Asunción,Americas,South America,,Paraguay,$45.38 Bn,$27.17 Bn,"$6,361.83"
Uzbekistan,42,1.48%,0.43%,74.81,"425,400",42,0.43%,1.48%,"447,400",Tashkent,Asia,Central Asia,,,$55.48 Bn,$67.78 Bn,"$1,657.7"
Kazakhstan,64,1.21%,0.24%,6.89,"2,699,700",64,0.24%,1.21%,"2,724,900",Astana,Asia,Central Asia,,,$177.32 Bn,$135.01 Bn,"$9,443.72"
Zimbabwe,74,1.48%,0.19%,38.04,"386,850",74,0.19%,1.48%,"390,757",Harare,Africa,Eastern Africa,,Zimbabwe,$25.81 Bn,$16.12 Bn,"$1,736.67"
Marshall Islands,207,0.68%,0.00%,327.02,180,207,0.00%,0.68%,181,Majuro,Oceania,Micronesia,,,$228.00 Mn,$183.00 Mn,"$3,852"
Kiribati,193,1.57%,0.00%,147.29,810,193,0.00%,1.57%,811,South Tarawa,Oceania,Micronesia,,,$196.00 Mn,$173.66 Mn,"$1,640.87"
Guatemala,66,1.90%,0.23%,164.53,"107,160",66,0.23%,1.90%,"108,889",Guatemala City,Americas,Central America,,Guatemala,$87.63 Bn,$68.76 Bn,"$4,891.22"
Saudi Arabia,41,1.59%,0.45%,16.19,"2,149,690",41,0.45%,1.59%,"2,149,690",Riyadh,Asia,Western Asia,,Saudi Arabia,$790.06 Bn,$639.62 Bn,"$22,693.89"
Peru,43,1.42%,0.42%,25.65,"1,280,000",43,0.42%,1.42%,"1,285,216",Lima,Americas,South America,,Peru,$244.16 Bn,$192.21 Bn,"$7,405.19"
Cambodia,71,1.41%,0.21%,92.35,"176,520",71,0.21%,1.41%,"181,035",Phnom Penh,Asia,South-Eastern Asia,,,$29.31 Bn,$20.02 Bn,"$1,753.04"
New Zealand,126,0.82%,0.06%,17.83,"263,310",126,0.06%,0.82%,"270,467",Wellington,Oceania,Australia and New Zealand,New Zealand,,$224.94 Bn,$187.52 Bn,"$46,647.06"
Moldova,131,-0.23%,0.05%,119.19,"32,850",131,0.05%,-0.23%,"33,846",Chișinău,Europe,Eastern Europe,,,$12.79 Bn,$6.77 Bn,"$3,171.32"
Chile,63,0.87%,0.25%,25.28,"743,532",63,0.25%,0.87%,"756,102",Santiago,Americas,South America,,Chile,$313.56 Bn,$247.05 Bn,"$16,402.89"
Iran,18,1.30%,1.08%,50.96,"1,628,550",18,1.08%,1.30%,"1,648,195",Tehran,Asia,Southern Asia,,Iran,$495.69 Bn,$425.40 Bn,"$5,901.61"
Turkey,17,1.09%,1.08%,107.64,"769,630",17,1.08%,1.09%,"783,562",Ankara,Asia,Western Asia,,Turkey,$809.55 Bn,$863.71 Bn,"$9,598.81"
Indonesia,4,1.07%,3.51%,143.61,"1,811,570",4,3.51%,1.07%,"1,904,569",Jakarta,Asia,South-Eastern Asia,,,$1.21 Tn,$932.26 Bn,"$4,419.58"
Nigeria,7,2.58%,2.64%,223.15,"910,770",7,2.64%,2.58%,"923,768",Abuja,Africa,Western Africa,Nigeria,Nigeria,$496.12 Bn,$404.65 Bn,"$2,406.73"
Czech Republic,86,0.18%,0.14%,135.79,"77,240",86,0.14%,0.18%,"78,865",Prague,Europe,Eastern Europe,,,$259.74 Bn,$195.31 Bn,"$24,254.04"
Nepal,49,1.85%,0.37%,197.97,"143,350",49,0.37%,1.85%,"147,181",Kathmandu,Asia,Southern Asia,,Nepal,$33.03 Bn,$20.91 Bn,"$1,133.79"
Denmark,115,0.35%,0.07%,134.41,"42,430",115,0.07%,0.35%,"43,094",Copenhagen,Europe,Northern Europe,,,$364.55 Bn,$306.90 Bn,"$62,937.38"
Lithuania,142,-1.35%,0.03%,41.69,"62,674",142,0.03%,-1.35%,"65,300",Vilnius,Europe,Northern Europe,,,$57.60 Bn,$42.77 Bn,"$21,159.4"
Iceland,180,0.65%,0.00%,3.31,"100,250",180,0.00%,0.65%,"103,000",Reykjavik,Europe,Northern Europe,,,$26.82 Bn,$20.27 Bn,"$78,597.95"
Turkmenistan,113,1.50%,0.08%,12.36,"469,930",113,0.08%,1.50%,"488,100",Ashgabat,Asia,Central Asia,,,$57.06 Bn,$36.18 Bn,"$9,460.64"
Bangladesh,8,1.01%,2.11%,1116.01,"130,170",8,2.11%,1.01%,"147,570",Dhaka,Asia,Southern Asia,,Bangladesh,$343.28 Bn,$220.84 Bn,"$2,084.4"
Taiwan,57,0.18%,0.31%,658.05,"35,410",57,0.31%,0.18%,"36,193",Taipei,Asia,Eastern Asia,,Taiwan,$633.70 Bn,-,"$26,607.09"
Comoros,163,2.20%,0.01%,467.03,"1,861",163,0.01%,2.20%,"1,862",Moroni,Africa,Eastern Africa,,,$773.00 Mn,$1.15 Bn,$888.91
Haiti,82,1.24%,0.15%,410.90,"27,560",82,0.15%,1.24%,"27,750",Port-au-Prince,Americas,Caribbean,,Haiti,$9.65 Bn,$7.65 Bn,$846.13
Bosnia and Herzegovina,135,-0.61%,0.04%,64.07,"51,000",135,0.04%,-0.61%,"51,209",Sarajevo,Europe,Southern Europe,,,$21.34 Bn,$16.91 Bn,"$6,505.39"
Tanzania,24,2.98%,0.77%,63.20,"885,800",24,0.77%,2.98%,"945,087",Dodoma,Africa,Eastern Africa,,,$64.89 Bn,-,"$1,086.28"
Latvia,151,-1.08%,0.02%,29.22,"62,200",151,0.02%,-1.08%,"64,559",Riga,Europe,Northern Europe,,,$38.10 Bn,$27.57 Bn,"$20,200.42"
Mali,60,3.02%,0.26%,16.33,"1,220,190",60,0.26%,3.02%,"1,240,192",Bamako,Africa,Western Africa,,,$19.33 Bn,$14.00 Bn,$954.63
Norway,119,0.79%,0.07%,16.74,"365,268",119,0.07%,0.79%,"323,802",Oslo,Europe,Northern Europe,Norway,,$438.62 Bn,$371.07 Bn,"$80,908.23"
Equatorial Guinea,153,3.47%,0.02%,50.02,"28,050",153,0.02%,3.47%,"28,051",Malabo,Africa,Middle Africa,,,$12.26 Bn,$10.68 Bn,"$8,740.65"
Papua New Guinea,98,1.95%,0.11%,19.33,"452,860",98,0.11%,1.95%,"462,840",Port Moresby,Oceania,Melanesia,,,$22.11 Bn,$19.69 Bn,"$2,471.66"
Panama,128,1.61%,0.06%,57.21,"74,340",128,0.06%,1.61%,"75,417",Panama City,Americas,Central America,,Panama,$75.49 Bn,$55.19 Bn,"$17,496.66"
Lesotho,147,0.80%,0.03%,70.57,"30,360",147,0.03%,0.80%,"30,355",Maseru,Africa,Southern Africa,,,$2.89 Bn,$2.24 Bn,"$1,349.98"
Sweden,91,0.63%,0.13%,22.43,"410,340",91,0.13%,0.63%,"450,295",Stockholm,Europe,Northern Europe,Sweden,Sweden,$576.72 Bn,$514.48 Bn,"$57,105.15"
South Sudan,,,,18.06,,84,0.14%,1.19%,"619,745",Juba,Africa,Middle Africa,,,$2.80 Bn,$6.53 Bn,$249.78
Cameroon,52,2.59%,0.34%,55.83,"472,710",52,0.34%,2.59%,"475,442",Yaoundé,Africa,Middle Africa,,,$42.05 Bn,$32.22 Bn,"$1,583.94"
Myanmar,26,0.67%,0.70%,80.42,"653,290",26,0.70%,0.67%,"676,578",Naypyidaw,Asia,South-Eastern Asia,,Myanmar,$71.40 Bn,$65.70 Bn,"$1,312.32"
Switzerland,101,0.74%,0.11%,209.64,"39,516",101,0.11%,0.74%,"41,284",Bern,Europe,Western Europe,,Switzerland,$740.70 Bn,$668.85 Bn,"$85,584.56"
Macedonia,148,-0.00%,0.03%,81.02,"25,220",148,0.03%,-0.00%,"25,713",Skopje,Europe,Southern Europe,,,$13.70 Bn,$10.75 Bn,"$6,575.87"
Romania,61,-0.66%,0.25%,80.70,"230,170",61,0.25%,-0.66%,"238,391",Bucharest,Europe,Eastern Europe,Romania,,$263.13 Bn,$186.69 Bn,"$13,677.99"
South Korea,28,0.09%,0.66%,511.62,"97,230",28,0.66%,0.09%,"100,210",Seoul,Asia,Eastern Asia,,South Korea,$1.74 Tn,$1.41 Tn,"$34,023.56"
Philippines,13,1.35%,1.41%,320.08,"298,170",13,1.41%,1.35%,"342,353",Manila,Asia,South-Eastern Asia,,Philippines,$389.05 Bn,$304.91 Bn,"$3,550.32"
Honduras,92,1.63%,0.13%,88.05,"111,890",92,0.13%,1.63%,"112,492",Tegucigalpa,Americas,Central America,,Honduras,$25.56 Bn,$21.52 Bn,"$2,580.62"
Nicaragua,110,1.21%,0.08%,50.81,"120,340",110,0.08%,1.21%,"130,373",Managua,Americas,Central America,,Nicaragua,$12.46 Bn,$13.23 Bn,"$1,880.73"
Madagascar,51,2.68%,0.36%,47.17,"581,795",51,0.36%,2.68%,"587,041",Antananarivo,Africa,Eastern Africa,,Madagascar,$13.54 Bn,$11.22 Bn,$489.04
Australia,55,1.18%,0.33%,3.32,"7,682,300",55,0.33%,1.18%,"7,692,024",Canberra,Oceania,Australia and New Zealand,Australia,Australia,$1.48 Tn,$1.30 Tn,"$58,096.73"
Swaziland,159,1.05%,0.01%,66.81,"17,200",159,0.01%,1.05%,"17,364",Lobamba,Africa,Southern Africa,,,$4.81 Bn,$4.01 Bn,"$4,147.69"
Dominican Republic,85,1.01%,0.14%,222.88,"48,320",85,0.14%,1.01%,"48,671",Santo Domingo,Americas,Caribbean,,Dominican Republic,$90.46 Bn,$71.58 Bn,"$8,338.84"
Central African Republic,125,1.78%,0.06%,7.75,"622,980",125,0.06%,1.78%,"622,984",Bangui,Africa,Middle Africa,,,$2.48 Bn,$1.81 Bn,$514.52
Thailand,20,0.25%,0.90%,136.03,"510,890",20,0.90%,0.25%,"513,120",Bangkok,Asia,South-Eastern Asia,,Thailand,$547.43 Bn,$407.03 Bn,"$7,842.85"
Burkina Faso,59,2.86%,0.27%,76.58,"273,600",59,0.27%,2.86%,"272,967",Ouagadougou,Africa,Western Africa,,,$16.27 Bn,$11.70 Bn,$778.16
Uganda,31,3.32%,0.59%,189.36,"199,810",31,0.59%,3.32%,"241,550",Kampala,Africa,Eastern Africa,,,$33.62 Bn,$25.31 Bn,$735.01
Georgia,132,-0.19%,0.05%,57.23,"69,490",132,0.05%,-0.19%,"69,700",Tbilisi,Asia,Western Asia,,,$18.89 Bn,$14.33 Bn,"$4,734.82"
Malta,174,0.27%,0.01%,1397.29,320,174,0.01%,0.27%,316,Valletta,Europe,Southern Europe,,,$16.34 Bn,$11.00 Bn,"$37,002.06"
Guinea,75,2.83%,0.17%,53.42,"245,720",75,0.17%,2.83%,"245,857",Conakry,Africa,Western Africa,,,$13.60 Bn,$8.48 Bn,"$1,035.8"
Liberia,123,2.44%,0.06%,45.41,"96,320",123,0.06%,2.44%,"111,369",Monrovia,Africa,Western Africa,,,$3.22 Bn,$2.76 Bn,$636.06
Chad,72,3.00%,0.21%,12.79,"1,259,200",72,0.21%,3.00%,"1,284,000",N'Djamena,Africa,Middle Africa,,,$12.55 Bn,$11.27 Bn,$763.86
Armenia,137,0.19%,0.04%,99.63,"28,470",137,0.04%,0.19%,"29,743",Yerevan,Asia,Western Asia,,,$13.87 Bn,$10.57 Bn,"$4,680.01"
Slovakia,118,0.05%,0.07%,111.34,"48,088",118,0.07%,0.05%,"49,037",Bratislava,Europe,Eastern Europe,,,$117.40 Bn,$89.77 Bn,"$21,503.06"
Algeria,33,1.85%,0.56%,18.41,"2,381,740",33,0.56%,1.85%,"2,381,741",Algiers,Africa,Northern Africa,,,$193.06 Bn,$159.05 Bn,"$4,402.54"
Poland,38,-0.11%,0.49%,121.04,"306,230",38,0.49%,-0.11%,"312,679",Warsaw,Europe,Eastern Europe,Poland,Poland,$643.27 Bn,$471.40 Bn,"$16,996.87"
Colombia,29,1.08%,0.65%,44.57,"1,109,500",29,0.65%,1.08%,"1,141,748",Bogotá,Americas,South America,,Colombia,$352.81 Bn,$282.46 Bn,"$6,933.76"
Ecuador,67,1.55%,0.23%,63.73,"248,360",67,0.23%,1.55%,"276,841",Quito,Americas,South America,,Ecuador,$107.73 Bn,$98.01 Bn,"$6,106.09"
Samoa,188,0.67%,0.00%,69.81,"2,830",188,0.00%,0.67%,"2,842",Apia,Oceania,Polynesia,,,$960.00 Mn,$822.23 Mn,"$4,838.37"
Trinidad and Tobago,154,0.32%,0.02%,272.80,"5,130",154,0.02%,0.32%,"5,130",Port of Spain,Americas,Caribbean,,Trinidad and Tobago,$23.23 Bn,$24.09 Bn,"$16,602.5"
Rwanda,76,2.58%,0.17%,491.77,"24,670",76,0.17%,2.58%,"26,338",Kigali,Africa,Eastern Africa,,,$11.06 Bn,$8.47 Bn,$854.06
Iraq,36,2.32%,0.52%,91.77,"434,320",36,0.52%,2.32%,"438,317",Baghdad,Asia,Western Asia,,Iraq,$246.93 Bn,$160.02 Bn,"$6,139.15"
Ivory Coast,53,2.57%,0.34%,81.80,"318,000",53,0.34%,2.57%,"322,463",Yamoussoukro,Africa,Western Africa,,,$49.88 Bn,$36.77 Bn,"$1,891.03"
Serbia,99,-0.40%,0.11%,98.88,"87,460",99,0.11%,-0.40%,"88,361",Belgrade,Europe,Southern Europe,,,$56.89 Bn,$38.30 Bn,"$6,510.65"
Fiji,161,0.73%,0.01%,49.06,"18,270",161,0.01%,0.73%,"18,272",Suva,Oceania,Melanesia,,,$5.67 Bn,$4.67 Bn,"$6,326.1"
Tajikistan,95,2.32%,0.12%,66.65,"139,960",95,0.12%,2.32%,"143,100",Dushanbe,Asia,Central Asia,,,$7.84 Bn,$6.95 Bn,$821.8
Belarus,96,-0.03%,0.12%,45.52,"202,910",96,0.12%,-0.03%,"207,600",Minsk,Europe,Eastern Europe,,,$63.66 Bn,$47.41 Bn,"$6,737.41"
Vanuatu,181,2.42%,0.00%,25.20,"12,190",181,0.00%,2.42%,"12,189",Port Vila,Oceania,Melanesia,,,$994.00 Mn,$837.52 Mn,"$3,236.26"
Namibia,143,1.86%,0.03%,3.08,"823,290",143,0.03%,1.86%,"825,615",Windhoek,Africa,Southern Africa,,,$14.63 Bn,$10.95 Bn,"$5,756.61"
Qatar,139,1.73%,0.04%,248.67,"11,610",139,0.04%,1.73%,"11,586",Doha,Asia,Western Asia,,,$204.01 Bn,$152.45 Bn,"$70,810.22"
Benin,77,2.73%,0.16%,107.65,"112,760",77,0.16%,2.73%,"112,622",Porto-Novo,Africa,Western Africa,,,$12.13 Bn,$8.89 Bn,"$1,000.48"
Netherlands,69,0.22%,0.22%,409.44,"33,720",69,0.22%,0.22%,"41,850",Amsterdam,Europe,Western Europe,,Netherlands,$954.93 Bn,$777.23 Bn,"$55,730.27"
Mexico,10,1.06%,1.65%,65.64,"1,943,950",10,1.65%,1.06%,"1,964,375",Mexico City,Americas,Central America,Mexico,Mexico,$1.30 Tn,$1.08 Tn,"$10,065.32"
Seychelles,200,0.62%,0.00%,217.58,460,200,0.00%,0.62%,452,Victoria,Africa,Eastern Africa,,,$1.74 Bn,$1.43 Bn,"$17,682.29"
Yemen,48,2.28%,0.38%,56.49,"527,970",48,0.38%,2.28%,"527,968",Sana'a,Asia,Western Asia,,Yemen,$31.39 Bn,$25.37 Bn,"$1,052.27"
Guinea-Bissau,150,2.45%,0.03%,54.48,"28,120",150,0.03%,2.45%,"36,125",Bissau,Africa,Western Africa,,,$1.67 Bn,$1.12 Bn,$848.07
Kenya,27,2.28%,0.69%,92.65,"569,140",27,0.69%,2.28%,"580,367",Nairobi,Africa,Eastern Africa,,Kenya,$109.12 Bn,$70.53 Bn,"$2,029.26"
Grenada,195,0.46%,0.00%,327.10,340,195,0.00%,0.46%,344,St. George's,Americas,Caribbean,,Grenada,$1.33 Bn,$1.02 Bn,"$11,819.81"
Kyrgyzstan,111,1.69%,0.08%,32.63,"191,800",111,0.08%,1.69%,"199,951",Bishkek,Asia,Central Asia,,,$8.78 Bn,$6.55 Bn,"$1,345.91"
Malaysia,45,1.30%,0.42%,97.84,"328,550",45,0.42%,1.30%,"330,803",Kuala Lumpur,Asia,South-Eastern Asia,,,$401.99 Bn,$296.53 Bn,"$12,419.98"
Costa Rica,122,0.92%,0.07%,99.69,"51,060",122,0.07%,0.92%,"51,100",San José,Americas,Central America,,Costa Rica,$63.46 Bn,$57.44 Bn,"$12,457.5"
Germany,19,0.32%,1.07%,234.61,"348,560",19,1.07%,0.32%,"357,114",Berlin,Europe,Western Europe,Germany,Germany,$4.16 Tn,$3.48 Tn,"$49,617.15"
Bolivia,80,1.39%,0.15%,10.63,"1,083,300",80,0.15%,1.39%,"1,098,581",Sucre,Americas,South America,,Bolivia,$47.05 Bn,$33.81 Bn,"$4,030.83"
China,1,0.39%,18.47%,148.28,"9,388,211",1,18.47%,0.39%,"9,706,961",Beijing,Asia,Eastern Asia,China,China,$15.47 Tn,$11.22 Tn,"$10,746.78"
Guyana,164,0.48%,0.01%,3.66,"196,850",164,0.01%,0.48%,"214,969",Georgetown,Americas,South America,,Guyana,$4.61 Bn,$3.44 Bn,"$5,859.75"
Gabon,146,2.45%,0.03%,8.32,"257,670",146,0.03%,2.45%,"267,668",Libreville,Africa,Middle Africa,,,$17.89 Bn,$13.86 Bn,"$8,039.15"
South Africa,25,1.28%,0.76%,48.57,"1,213,090",25,0.76%,1.28%,"1,221,037",Pretoria,Africa,Southern Africa,South Africa,,$386.73 Bn,$295.44 Bn,"$6,520.58"
Ethiopia,12,2.57%,1.47%,104.11,"1,000,000",12,1.47%,2.57%,"1,104,300",Addis Ababa,Africa,Eastern Africa,,,$99.37 Bn,$70.31 Bn,$864.37
Malawi,62,2.69%,0.25%,161.46,"94,280",62,0.25%,2.69%,"118,484",Lilongwe,Africa,Eastern Africa,,,$7.86 Bn,$5.32 Bn,$410.93
Saint Kitts and Nevis,211,0.71%,0.00%,203.83,260,211,0.00%,0.71%,261,Basseterre,Americas,Caribbean,,Saint Kitts and Nevis,$1.12 Bn,$909.85 Mn,"$21,015.43"
Finland,116,0.15%,0.07%,16.37,"303,890",116,0.07%,0.15%,"338,424",Helsinki,Europe,Northern Europe,,,$289.24 Bn,$238.50 Bn,"$52,203.14"
Israel,100,1.60%,0.11%,416.73,"21,640",100,0.11%,1.60%,"20,770",Jerusalem,Asia,Western Asia,,Israel,$403.96 Bn,$317.75 Bn,"$46,670.83"
Bahamas,178,0.97%,0.01%,28.20,"10,010",178,0.01%,0.97%,"13,943",Nassau,Americas,Caribbean,,Bahamas,$13.71 Bn,$11.26 Bn,"$34,863.85"
Puerto Rico,141,-2.47%,0.04%,322.53,"8,870",141,0.04%,-2.47%,"8,870",San Juan,Americas,Caribbean,,,$104.12 Bn,$105.03 Bn,"$36,393.69"
Vietnam,15,0.91%,1.25%,293.89,"310,070",15,1.25%,0.91%,"331,212",Hanoi,Asia,South-Eastern Asia,,Vietnam,$282.37 Bn,$205.28 Bn,"$2,900.93"
Oman,120,2.65%,0.07%,16.50,"309,500",120,0.07%,2.65%,"309,500",Muscat,Asia,Western Asia,,,$84.16 Bn,$63.17 Bn,"$16,480.16"
Nauru,227,0.63%,0.00%,515.43,20,227,0.00%,0.63%,21,Yaren,Oceania,Micronesia,,,$117.00 Mn,$103.47 Mn,"$10,809.31"
Maldives,173,1.81%,0.01%,1801.81,300,173,0.01%,1.81%,300,Malé,Asia,Southern Asia,,,$6.21 Bn,$4.22 Bn,"$11,493.98"
Senegal,70,2.75%,0.21%,85.11,"192,530",70,0.21%,2.75%,"196,722",Dakar,Africa,Western Africa,,,$28.06 Bn,$14.60 Bn,"$1,675.95"
Djibouti,160,1.48%,0.01%,42.59,"23,180",160,0.01%,1.48%,"23,200",Djibouti,Africa,Eastern Africa,,,$2.60 Bn,$1.89 Bn,"$2,630.57"
Ghana,47,2.15%,0.40%,130.27,"227,540",47,0.40%,2.15%,"238,533",Accra,Africa,Western Africa,,Ghana,$72.26 Bn,$42.79 Bn,"$2,325.62"
Niger,56,3.84%,0.31%,19.11,"1,266,700",56,0.31%,3.84%,"1,267,000",Niamey,Africa,Western Africa,,,$10.63 Bn,$7.53 Bn,$439.05
Burundi,78,3.12%,0.15%,427.20,"25,680",78,0.15%,3.12%,"27,834",Bujumbura,Africa,Eastern Africa,,,$3.71 Bn,$2.87 Bn,$312.34
Laos,105,1.48%,0.09%,30.72,"230,800",105,0.09%,1.48%,"236,800",Vientiane,Asia,South-Eastern Asia,,,$22.01 Bn,$15.81 Bn,"$3,025.61"
Ireland,124,1.13%,0.06%,70.27,"68,890",124,0.06%,1.13%,"70,273",Dublin,Europe,Northern Europe,Ireland,,$405.19 Bn,$304.82 Bn,"$82,058.03"
Morocco,40,1.20%,0.47%,82.66,"446,300",40,0.47%,1.20%,"446,550",Rabat,Africa,Northern Africa,,Morocco,$129.06 Bn,$103.61 Bn,"$3,496.45"
Albania,140,-0.11%,0.04%,100.10,"27,400",140,0.04%,-0.11%,"28,748",Tirana,Europe,Southern Europe,,,$17.21 Bn,$11.86 Bn,"$5,980.27"
Mauritius,157,0.17%,0.02%,623.42,"2,030",157,0.02%,0.17%,"2,040",Port Louis,Africa,Eastern Africa,,,$15.76 Bn,$12.22 Bn,"$12,389.84"
El Salvador,112,0.51%,0.08%,308.27,"20,720",112,0.08%,0.51%,"21,041",San Salvador,Americas,Central America,,El Salvador,$28.20 Bn,$26.80 Bn,"$4,348"
Togo,102,2.43%,0.11%,145.79,"54,390",102,0.11%,2.43%,"56,785",Lomé,Africa,Western Africa,,,$6.13 Bn,$4.45 Bn,$740.69
Austria,97,0.57%,0.12%,107.38,"82,409",97,0.12%,0.57%,"83,871",Vienna,Europe,Western Europe,Austria,,$481.68 Bn,$390.80 Bn,"$53,481.76"
Uruguay,134,0.35%,0.04%,19.19,"175,020",134,0.04%,0.35%,"181,034",Montevideo,Americas,South America,,Uruguay,$63.42 Bn,$52.42 Bn,"$18,257.32"
Ukraine,35,-0.59%,0.56%,72.47,"579,320",35,0.56%,-0.59%,"603,500",Kiev,Europe,Eastern Europe,,Ukraine,$147.17 Bn,$93.27 Bn,"$3,365.13"
